"帳票名","仕訳日記帳"
"書式名","汎用形式"
"事業所名","㈱コムテックエンタープライズ"
"処理日時","2026/09/09","14:05:26"
"検索条件",""
"集計期間","2025/07/01","2026/06/30","決算仕訳を含む"
"当日仕訳","NO"
"[表題行]","日付","伝票No.","決算","調整","付箋1","付箋2","タイプ","生成元","借方勘定科目","借方補助科目","借方部門","借方税区分","借方税計算区分","借方金額","借方税額","貸方勘定科目","貸方補助科目","貸方部門","貸方税区分","貸方税計算区分","貸方金額","貸方税額","摘要","請求書区分","仕入税額控除","期日","番号","仕訳メモ","作業日付","仕訳番号"
"[明細行]","2025/07/01",,"","NO","","","","","旅費交通費","","","課対仕入10%","",4940,,"小口現金","","","対象外","",4940,,"中部テラオカ津営業所　往復","","","",,"","2026/08/21",27877
"[日次合計行]","","","","","","","","","","","","","",4940,0,"","","","","",4940,0,"","","","","","","",""
"[明細行]","2025/07/02",,"","NO","","","","[CSV]","リース料","車両","","課対仕入10%","",29150,,"普通　三菱UFJ銀行","","","対象外","",29150,,"ＴＦ）トヨタフアイナンス","","","",,"","2026/01/28",24758
"[日次合計行]","","","","","","","","","","","","","",29150,0,"","","","","",29150,0,"","","","","","","",""
"[明細行]","2025/07/05",,"","NO","","","","","租税公課","","","対象外","",300,,"小口現金","","","対象外","",300,,"印鑑証明書","","","",,"","2026/08/21",27886
"[日次合計行]","","","","","","","","","","","","","",300,0,"","","","","",300,0,"","","","","","","",""
"[明細行]","2025/07/08",,"","NO","","","","","[製]法定福利費","","","対象外","",218345,,"未払金","","","対象外","",218345,,"労働保険料　R7.07.08　令和6年度分","","","",,"","2026/08/15",27294
"[明細行]","2025/07/08",,"","NO","","","","","旅費交通費","","","課対仕入10%","",4940,,"小口現金","","","対象外","",4940,,"中部テラオカ津営業所　往復","","","",,"","2026/08/21",27879
"[日次合計行]","","","","","","","","","","","","","",223285,0,"","","","","",223285,0,"","","","","","","",""
"[明細行]","2025/07/10",,"","NO","","","","[CSV]","ニコスカード","","","対象外","",31867,,"普通　三菱UFJ銀行","","","対象外","",31867,,"ＤＣ","","","",,"","2026/01/28",24759
"[明細行]","2025/07/10",,"","NO","","","","[CSV]","雑費","","","課対仕入10%","",22000,,"普通　三菱UFJ銀行","","","対象外","",22000,,"ミツビシＵＦＪニコス","","","",,"","2026/01/28",24869
"[明細行]","2025/07/10",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",4431,,"ニコスカード","","","対象外","",4431,,"ソフトバンクＭ（０４月分）","","","",,"","2026/03/19",25245
"[明細行]","2025/07/10",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",1980,,"ニコスカード","","","対象外","",1980,,"ADOBE SYSTEMS SOFTWA         ADOBE.LY/JPJP","","","",,"","2026/03/19",25246
"[明細行]","2025/07/10",,"","NO","","","","[CSV]","貸付金","","","対象外","",100,,"ニコスカード","","","対象外","",100,,"タイムズ名古屋","","","",,"","2026/03/19",25247
"[明細行]","2025/07/10",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",980,,"ニコスカード","","","対象外","",980,,"SPOTIFY P376ACB62E           STOCKHOLM","","","",,"","2026/03/19",25248
"[明細行]","2025/07/10",,"","NO","","","","[CSV]","水道光熱費","","","課対仕入10%","",24176,,"ニコスカード","","","対象外","",24176,,"中部電力　２５／０６利用分","","","",,"","2026/03/19",25249
"[明細行]","2025/07/10",,"","NO","","","","[CSV]","貸付金","","","対象外","",100,,"ニコスカード","","","対象外","",100,,"タイムズ名古屋","","","",,"","2026/03/19",25250
"[明細行]","2025/07/10",,"","NO","","","","[CSV]","貸付金","","","対象外","",100,,"ニコスカード","","","対象外","",100,,"タイムズ名古屋","","","",,"","2026/03/19",25251
"[明細行]","2025/07/10",,"","NO","","","","","租税公課","","","対象外","",600,,"小口現金","","","対象外","",600,,"収入印紙","","","",,"","2026/08/21",27889
"[日次合計行]","","","","","","","","","","","","","",86334,0,"","","","","",86334,0,"","","","","","","",""
"[明細行]","2025/07/13",,"","NO","","","","","旅費交通費","","","課対仕入10%","",11600,,"現金","","","対象外","",11600,,"交通費（藤井　10/2-10/4）","","","",,"","2026/03/19",25243
"[日次合計行]","","","","","","","","","","","","","",11600,0,"","","","","",11600,0,"","","","","","","",""
"[明細行]","2025/07/14",,"","NO","","","","","租税公課","","","対象外","",1050,,"小口現金","","","対象外","",1050,,"収入印紙","","","",,"","2026/08/21",27890
"[日次合計行]","","","","","","","","","","","","","",1050,0,"","","","","",1050,0,"","","","","","","",""
"[明細行]","2025/07/15",,"","NO","","","","[CSV]","仕入高　1","","","課対仕入10%","",268170,,"普通　三菱UFJ銀行","","","対象外","",268170,,"エスビ－　シ－アンドエス（　JCC用3台","","","",,"","2026/08/20",27600
"[明細行]","2025/07/15",,"","NO","","","","","旅費交通費","","","課対仕入10%","",4940,,"小口現金","","","対象外","",4940,,"中部テラオカ津営業所　往復","","","",,"","2026/08/21",27880
"[日次合計行]","","","","","","","","","","","","","",273110,0,"","","","","",273110,0,"","","","","","","",""
"[明細行]","2025/07/16",,"","NO","","","","[CSV]","仕入高　1","","","課対仕入10%","",26817,,"普通　三菱UFJ銀行","","","対象外","",26817,,"エスビ－　シ－アンドエス（　JCC用3台","","","",,"","2026/08/20",27601
"[日次合計行]","","","","","","","","","","","","","",26817,0,"","","","","",26817,0,"","","","","","","",""
"[明細行]","2025/07/17",,"","NO","","","","","旅費交通費","","","課対仕入10%","",800,,"小口現金","","","対象外","",800,,"駐車料　","","","",,"","2026/08/21",27887
"[日次合計行]","","","","","","","","","","","","","",800,0,"","","","","",800,0,"","","","","","","",""
"[明細行]","2025/07/18",,"","NO","","","","[CSV]","支払手数料","","","課対仕入10%","",5060,,"普通　三菱UFJ銀行","","","対象外","",5060,,"ＢＺ手数料","","","",,"","2026/01/28",24763
"[明細行]","2025/07/18",,"","NO","","","","[CSV]","支払手数料","","","課対仕入10%","",4928,,"普通　三菱UFJ銀行","","","対象外","",4928,,"振込手数料","","","",,"","2026/01/28",24764
"[日次合計行]","","","","","","","","","","","","","",9988,0,"","","","","",9988,0,"","","","","","","",""
"[明細行]","2025/07/20",,"","NO","","","","","旅費交通費","","","課対仕入10%","",1000,,"小口現金","","","対象外","",1000,,"駐車料　","","","",,"","2026/08/21",27884
"[日次合計行]","","","","","","","","","","","","","",1000,0,"","","","","",1000,0,"","","","","","","",""
"[明細行]","2025/07/22",,"","NO","","","","[CSV]","保険料","","","対象外","",15000,,"普通　三菱UFJ銀行","","","対象外","",15000,,"ナゴヤカイギシヨ　キ","","","",,"","2026/01/28",24765
"[明細行]","2025/07/22",,"","NO","","","","","旅費交通費","","","課対仕入10%","",4940,,"小口現金","","","対象外","",4940,,"中部テラオカ津営業所　往復","","","",,"","2026/08/21",27881
"[日次合計行]","","","","","","","","","","","","","",19940,0,"","","","","",19940,0,"","","","","","","",""
"[明細行]","2025/07/23",,"","NO","","","","[CSV]","事務用品費","","","課対仕入10%","",1100,,"普通　三菱UFJ銀行","","","対象外","",1100,,"ＳＭＢＣ（コニカミノルタ","","","",,"","2026/01/28",24766
